Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
登录模块,2000,24,12,29,37,392,8,1638,0.000%,198.94559,487.16,59.26
TOTAL,2000,24,12,29,37,392,8,1638,0.000%,198.94559,487.16,59.26
